t,robot,x,y
150.0,leo1,0.997,0.019
152.0,leo1,0.997,0.019
154.0,leo1,0.997,0.019
156.0,leo1,0.997,0.019
158.0,leo1,1.021,0.010
160.0,leo1,1.008,0.040
162.0,leo1,0.927,-0.099
164.0,leo1,0.567,-0.364
166.0,leo1,0.060,-0.667
168.0,leo1,-0.078,-0.782
170.0,leo1,-0.072,-0.773
172.0,leo1,-0.052,-0.771
174.0,leo1,0.006,-0.778
176.0,leo1,0.373,-0.637
178.0,leo1,0.914,-0.342
180.0,leo1,1.354,-0.060
182.0,leo1,1.606,0.134
184.0,leo1,1.834,0.135
186.0,leo1,2.307,-0.104
188.0,leo1,2.800,-0.289
190.0,leo1,3.294,-0.385
192.0,leo1,3.776,-0.537
194.0,leo1,4.115,-0.721
196.0,leo1,4.139,-0.737
198.0,leo1,4.143,-0.740
200.0,leo1,4.123,-0.722
202.0,leo1,3.938,-0.923
204.0,leo1,3.415,-1.198
206.0,leo1,2.906,-1.396
208.0,leo1,2.416,-1.567
210.0,leo1,1.932,-1.728
212.0,leo1,1.520,-1.988
214.0,leo1,1.324,-2.345
216.0,leo1,1.288,-2.883
218.0,leo1,1.229,-3.369
220.0,leo1,1.135,-3.896
222.0,leo1,1.003,-4.414
224.0,leo1,0.895,-4.941
226.0,leo1,0.766,-5.426
228.0,leo1,0.584,-5.928
230.0,leo1,0.360,-6.388
232.0,leo1,0.206,-6.652
234.0,leo1,0.194,-6.655
236.0,leo1,0.194,-6.655
238.0,leo1,0.057,-6.773
240.0,leo1,-0.385,-6.960
242.0,leo1,-0.831,-7.234
244.0,leo1,-0.995,-7.355
246.0,leo1,-1.279,-7.430
248.0,leo1,-1.789,-7.466
250.0,leo1,-2.313,-7.561
252.0,leo1,-2.818,-7.709
254.0,leo1,-3.309,-7.884
256.0,leo1,-3.778,-8.104
258.0,leo1,-4.101,-8.342
260.0,leo1,-4.431,-8.734
262.0,leo1,-4.761,-9.117
264.0,leo1,-5.102,-9.534
266.0,leo1,-5.400,-9.890
268.0,leo1,-5.488,-9.992
270.0,leo1,-5.477,-9.960
272.0,leo1,-5.460,-9.994
274.0,leo1,-5.456,-9.982
276.0,leo1,-5.165,-9.829
278.0,leo1,-4.730,-9.326
280.0,leo1,-4.321,-8.997
282.0,leo1,-3.839,-8.818
284.0,leo1,-3.362,-8.635
286.0,leo1,-2.852,-8.485
288.0,leo1,-2.335,-8.471
290.0,leo1,-1.801,-8.483
292.0,leo1,-1.307,-8.484
294.0,leo1,-0.765,-8.484
296.0,leo1,-0.251,-8.488
298.0,leo1,0.253,-8.483
300.0,leo1,0.789,-8.484
302.0,leo1,0.974,-8.502
304.0,leo1,0.773,-8.825
306.0,leo1,0.592,-8.846
308.0,leo1,0.606,-8.826
310.0,leo1,0.634,-8.801
312.0,leo1,0.788,-8.744
314.0,leo1,0.946,-8.476
316.0,leo1,1.125,-8.478
318.0,leo1,1.175,-8.478
320.0,leo1,1.244,-8.476
322.0,leo1,1.312,-8.475
324.0,leo1,1.384,-8.472
326.0,leo1,1.448,-8.470
328.0,leo1,1.521,-8.467
330.0,leo1,1.603,-8.464
332.0,leo1,1.653,-8.462
334.0,leo1,1.698,-8.460
336.0,leo1,1.746,-8.458
338.0,leo1,1.784,-8.482
340.0,leo1,1.834,-8.481
342.0,leo1,1.881,-8.480
344.0,leo1,1.930,-8.479
346.0,leo1,1.979,-8.478
348.0,leo1,2.023,-8.477
350.0,leo1,2.069,-8.476
352.0,leo1,2.113,-8.475
354.0,leo1,2.162,-8.474
356.0,leo1,2.264,-8.484
358.0,leo1,2.314,-8.498
360.0,leo1,2.360,-8.510
362.0,leo1,2.402,-8.519
364.0,leo1,2.441,-8.527
366.0,leo1,2.490,-8.535
368.0,leo1,2.528,-8.542
370.0,leo1,2.601,-8.529
372.0,leo1,2.707,-8.588
374.0,leo1,2.774,-8.640
376.0,leo1,2.835,-8.697
378.0,leo1,2.895,-8.771
380.0,leo1,2.907,-8.796
382.0,leo1,2.910,-8.802
384.0,leo1,2.909,-8.801
386.0,leo1,2.909,-8.801
386.0,leo2,3.028,-8.897
388.0,leo1,2.909,-8.800
388.0,leo2,3.028,-8.904
390.0,leo1,2.909,-8.801
390.0,leo2,3.028,-8.905
392.0,leo1,2.910,-8.801
392.0,leo2,3.028,-8.905
394.0,leo1,2.910,-8.802
394.0,leo2,3.028,-8.905
396.0,leo1,2.910,-8.802
396.0,leo2,3.029,-8.907
398.0,leo1,2.910,-8.802
398.0,leo2,3.029,-8.907
400.0,leo1,2.910,-8.802
400.0,leo2,3.029,-8.907
402.0,leo1,2.910,-8.802
402.0,leo2,3.029,-8.907
404.0,leo1,2.910,-8.802
404.0,leo2,3.029,-8.907
406.0,leo1,2.910,-8.803
406.0,leo2,3.029,-8.907
408.0,leo1,2.910,-8.803
408.0,leo2,3.029,-8.907
410.0,leo1,2.910,-8.803
410.0,leo2,3.029,-8.907
412.0,leo1,2.910,-8.803
412.0,leo2,3.029,-8.907
414.0,leo1,2.910,-8.803
414.0,leo2,3.029,-8.907
416.0,leo1,2.911,-8.803
416.0,leo2,3.029,-8.907
418.0,leo1,2.911,-8.804
418.0,leo2,3.029,-8.907
420.0,leo1,2.911,-8.804
420.0,leo2,3.029,-8.908
422.0,leo1,2.911,-8.804
422.0,leo2,3.029,-8.908
424.0,leo1,2.911,-8.804
424.0,leo2,3.029,-8.908
426.0,leo1,2.911,-8.804
426.0,leo2,3.029,-8.908
428.0,leo1,2.911,-8.804
428.0,leo2,3.029,-8.908
430.0,leo1,2.911,-8.804
430.0,leo2,3.029,-8.908
432.0,leo1,2.911,-8.805
432.0,leo2,3.029,-8.908
434.0,leo1,2.911,-8.805
434.0,leo2,3.029,-8.908
436.0,leo1,2.911,-8.805
436.0,leo2,3.029,-8.909
438.0,leo1,2.911,-8.806
438.0,leo2,3.029,-8.909
440.0,leo1,2.912,-8.806
440.0,leo2,3.029,-8.909
442.0,leo1,2.912,-8.806
442.0,leo2,3.029,-8.909
444.0,leo1,2.878,-8.727
444.0,leo2,3.005,-8.793
446.0,leo1,2.838,-8.631
446.0,leo2,2.973,-8.698
448.0,leo1,2.800,-8.540
448.0,leo2,2.940,-8.610
450.0,leo1,2.795,-8.527
450.0,leo2,2.938,-8.606
452.0,leo1,2.795,-8.527
452.0,leo2,2.945,-8.617
454.0,leo1,2.762,-8.473
454.0,leo2,2.940,-8.611
456.0,leo1,2.705,-8.419
