t,robot,x,y
150.0,leo2,0.707,0.007
152.0,leo2,0.707,0.007
154.0,leo2,0.707,0.007
156.0,leo2,0.707,0.007
158.0,leo2,0.725,-0.002
160.0,leo2,0.724,0.007
162.0,leo2,0.681,-0.031
164.0,leo2,0.437,-0.128
166.0,leo2,0.014,-0.026
168.0,leo2,-0.204,-0.036
170.0,leo2,-0.204,-0.036
172.0,leo2,-0.204,-0.036
174.0,leo2,-0.213,-0.043
176.0,leo2,-0.305,-0.157
178.0,leo2,-0.362,-0.592
180.0,leo2,-0.488,-1.120
182.0,leo2,-0.589,-1.340
184.0,leo2,-0.594,-1.322
186.0,leo2,-0.598,-1.328
188.0,leo2,-0.569,-1.311
190.0,leo2,-0.644,-1.218
192.0,leo2,-0.665,-0.791
194.0,leo2,-0.572,-0.209
196.0,leo2,-0.512,0.299
198.0,leo2,-0.541,0.617
200.0,leo2,-0.544,0.631
202.0,leo2,-0.550,0.608
204.0,leo2,-0.590,0.513
206.0,leo2,-0.554,0.087
208.0,leo2,-0.606,-0.533
210.0,leo2,-0.759,-1.022
212.0,leo2,-0.925,-1.530
214.0,leo2,-1.027,-1.730
216.0,leo2,-1.030,-1.732
218.0,leo2,-1.030,-1.732
220.0,leo2,-1.030,-1.732
222.0,leo2,-0.983,-1.733
224.0,leo2,-1.081,-1.750
226.0,leo2,-1.179,-1.766
228.0,leo2,-1.283,-1.783
230.0,leo2,-1.283,-1.785
232.0,leo2,-1.285,-1.780
234.0,leo2,-1.293,-1.766
236.0,leo2,-1.253,-1.781
238.0,leo2,-1.315,-1.833
240.0,leo2,-1.391,-2.136
242.0,leo2,-1.438,-2.726
244.0,leo2,-1.499,-3.251
246.0,leo2,-1.554,-3.777
248.0,leo2,-1.646,-4.316
250.0,leo2,-1.771,-4.781
252.0,leo2,-1.949,-5.271
254.0,leo2,-2.150,-5.754
256.0,leo2,-2.368,-6.270
258.0,leo2,-2.475,-6.761
260.0,leo2,-2.633,-7.275
262.0,leo2,-2.732,-7.555
264.0,leo2,-2.707,-7.545
266.0,leo2,-2.731,-7.532
268.0,leo2,-2.765,-7.363
270.0,leo2,-2.602,-6.916
272.0,leo2,-2.407,-6.336
274.0,leo2,-2.240,-5.827
276.0,leo2,-2.045,-5.392
278.0,leo2,-1.800,-4.912
280.0,leo2,-1.555,-4.444
282.0,leo2,-1.304,-3.979
284.0,leo2,-1.041,-3.512
286.0,leo2,-0.802,-3.069
288.0,leo2,-0.573,-2.620
290.0,leo2,-0.328,-2.144
292.0,leo2,-0.082,-1.697
294.0,leo2,0.181,-1.232
296.0,leo2,0.445,-0.828
298.0,leo2,0.823,-0.594
300.0,leo2,1.314,-0.495
302.0,leo2,1.733,-0.360
304.0,leo2,2.132,-0.379
306.0,leo2,2.425,-0.349
308.0,leo2,2.493,-0.339
310.0,leo2,2.521,-0.337
312.0,leo2,2.439,-0.337
314.0,leo2,2.050,-0.316
316.0,leo2,1.882,-0.312
318.0,leo2,1.827,-0.312
320.0,leo2,1.755,-0.313
322.0,leo2,1.684,-0.314
324.0,leo2,1.609,-0.316
326.0,leo2,1.548,-0.318
328.0,leo2,1.471,-0.321
330.0,leo2,1.393,-0.323
332.0,leo2,1.340,-0.326
334.0,leo2,1.295,-0.327
336.0,leo2,1.246,-0.330
338.0,leo2,1.181,-0.332
340.0,leo2,1.129,-0.335
342.0,leo2,1.085,-0.337
344.0,leo2,1.033,-0.340
346.0,leo2,0.982,-0.343
348.0,leo2,0.936,-0.346
350.0,leo2,0.870,-0.364
352.0,leo2,0.822,-0.365
354.0,leo2,0.771,-0.365
356.0,leo2,0.702,-0.359
358.0,leo2,0.645,-0.342
360.0,leo2,0.594,-0.328
