t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
86.2,,,,nan,,,,nan,0,,,0,0,0
90.0,,,,0.000,,,,nan,0,,,1,0,0
95.0,,,,0.000,,,,nan,0,,,1,0,0
100.0,,,,0.000,,,,nan,0,,,1,0,0
105.0,,,,0.000,,,,nan,0,,,1,0,0
110.0,,,,0.000,,,,nan,0,,,1,0,0
115.0,,,,0.000,,,,nan,0,,,1,0,0
120.0,,,,0.000,,,,0.395,0,,,1,0,0
125.0,,,,0.000,,,,0.386,0,,,2,0,0
130.0,,,,0.000,,,,0.347,0,,,2,0,0
135.0,,,,0.000,,,,0.368,0,,,2,0,0
140.0,,,,0.000,,,,0.345,0,,,2,0,0
145.0,,,,0.000,,,,0.303,0,,,2,1,0
150.0,,,,0.000,,,,0.342,0,,,2,1,0
155.0,,,,0.000,,,,0.311,0,,,2,2,0
160.0,,,,0.000,,,,0.291,0,,,2,3,0
165.0,,,,0.000,,,,0.302,0,,,2,3,0
170.0,,,,0.000,,,,0.327,0,,,2,3,0
175.0,,,,0.000,,,,0.306,0,,,2,3,0
180.0,9.7040,-9.9305,179.218,0.175,,,,0.337,0,0.1058,-0.781,3,3,1
185.0,9.7336,-9.8850,179.665,0.350,,,,0.385,0,0.1486,-0.335,4,3,2
190.0,9.7324,-9.8816,179.674,0.350,,,,0.430,0,0.1490,-0.325,4,3,2
195.0,9.7324,-9.8816,179.674,0.350,,,,0.507,0,0.1490,-0.325,4,3,2
200.0,9.7324,-9.8816,179.674,0.350,,,,0.514,0,0.1490,-0.325,4,3,2
205.0,9.7324,-9.8816,179.674,0.350,9.7824,-9.7316,179.621,0.563,1,0.2845,-0.379,4,3,2
210.0,9.7324,-9.8816,179.674,0.350,9.7824,-9.7316,179.621,0.588,1,0.2845,-0.379,4,3,2
