t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
39.982,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0525,0.1042
40.987,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0527,0.1042
41.982,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0544,0.1042
42.979,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7734,0.0564,0.1042
43.981,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7733,0.0591,0.1042
44.982,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0611,0.1042
45.980,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0612,0.1042
46.647,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0623,0.1042
46.985,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0628,0.1042
47.646,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0637,0.1042
47.979,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0642,0.1042
48.652,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0649,0.1042
48.977,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0661,0.1042
49.643,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0674,0.1042
49.980,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0671,0.1042
50.646,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0674,0.1042
50.985,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0675,0.1042
51.648,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0693,0.1042
51.978,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0703,0.1042
52.396,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0708,0.1042
52.757,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0712,0.1042
53.094,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0716,0.1042
53.401,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0717,0.1042
53.756,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0723,0.1042
54.084,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0729,0.1042
54.404,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0736,0.1042
54.755,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0742,0.1042
55.083,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0743,0.1042
55.402,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0753,0.1042
55.753,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0764,0.1042
56.086,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0770,0.1042
56.401,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0774,0.1042
56.750,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0777,0.1042
57.077,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0784,0.1042
57.397,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0790,0.1042
57.743,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0797,0.1042
58.080,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0804,0.1042
58.402,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0803,0.1042
58.740,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0802,0.1042
59.087,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0805,0.1042
59.399,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0817,0.1042
59.749,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0823,0.1042
60.074,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0826,0.1042
60.401,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0826,0.1042
60.744,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0829,0.1042
61.101,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0830,0.1042
61.424,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0836,0.1042
61.761,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0844,0.1042
62.095,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0849,0.1042
62.424,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0851,0.1042
62.759,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0852,0.1042
63.100,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0865,0.1042
63.422,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0871,0.1042
63.764,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0873,0.1042
64.102,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0886,0.1042
64.414,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0887,0.1042
64.764,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7720,0.0898,0.1042
65.094,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7720,0.0910,0.1042
65.419,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7719,0.0917,0.1042
65.734,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7719,0.0929,0.1042
66.079,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0933,0.1042
66.398,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0937,0.1042
66.737,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0941,0.1042
67.069,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0939,0.1042
67.397,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0947,0.1042
67.699,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0942,0.1042
68.073,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7718,0.0947,0.1042
68.399,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7717,0.0956,0.1042
68.702,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7717,0.0966,0.1042
69.066,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7716,0.0971,0.1042
69.401,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7716,0.0972,0.1042
69.707,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7716,0.0973,0.1042
70.073,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7716,0.0975,0.1042
70.407,2,1.5037,73.88,0.314,1.5007,0.0013,-0.0952,1.7873,0.0989,0.1048
70.698,2,1.4643,75.88,0.086,1.4611,0.0013,-0.0962,1.7920,0.0996,0.1038
71.069,2,1.4121,78.88,0.441,1.4089,0.0023,-0.0961,1.7794,0.1001,0.1039
71.404,2,1.3776,80.88,0.457,1.3742,0.0022,-0.0962,1.7829,0.1003,0.1038
71.702,2,1.3253,83.88,0.312,1.3218,0.0012,-0.0961,1.7714,0.0989,0.1039
72.061,2,1.2945,85.88,0.495,1.2910,0.0012,-0.0955,1.7787,0.0996,0.1045
72.698,2,1.2105,91.88,0.336,1.2067,0.0011,-0.0965,1.7661,0.0993,0.1035
73.061,2,1.1850,93.88,0.612,1.1810,0.0011,-0.0969,1.7791,0.1003,0.1031
73.397,2,1.1368,97.88,0.735,1.1327,0.0010,-0.0956,1.7678,0.0999,0.1044
73.698,2,1.0926,101.88,0.362,1.0883,0.0010,-0.0969,1.7660,0.0998,0.1031
74.059,2,1.0516,105.88,0.371,1.0471,0.0009,-0.0970,1.7666,0.0995,0.1030
74.393,2,1.0137,109.88,0.380,1.0090,0.0009,-0.0971,1.7679,0.0994,0.1029
74.696,2,0.9780,113.89,0.247,0.9731,0.0006,-0.0974,1.7716,0.0994,0.1026
75.053,2,0.9454,117.88,1.287,0.9406,0.0008,-0.0954,1.7788,0.1000,0.1046
75.392,2,0.9001,123.88,1.494,0.8950,0.0008,-0.0953,1.7768,0.1006,0.1047
75.703,2,0.8592,129.88,0.416,0.8537,0.0008,-0.0976,1.7801,0.1015,0.1024
76.055,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7835,0.1022,0.1023
76.389,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7835,0.1025,0.1023
76.699,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7835,0.1025,0.1023
77.052,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7835,0.1030,0.1023
77.390,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7835,0.1031,0.1023
77.701,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7835,0.1032,0.1023
78.392,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1045,0.1023
78.699,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1044,0.1023
79.057,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1047,0.1023
79.386,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1050,0.1023
79.696,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1052,0.1023
80.055,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1054,0.1023
80.384,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1054,0.1023
80.704,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1052,0.1023
81.056,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7834,0.1052,0.1023
81.389,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1057,0.1023
81.701,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1060,0.1023
82.052,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1061,0.1023
82.372,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1062,0.1023
82.678,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1068,0.1023
83.035,2,0.8339,133.88,0.421,0.8282,0.0007,-0.0977,1.7833,0.1067,0.1023
