t,robot,x,y
88.0,leo1,0.707,0.039
90.0,leo1,0.707,0.039
92.0,leo1,0.707,0.039
94.0,leo1,0.736,0.025
96.0,leo1,0.808,-0.063
98.0,leo1,0.831,-0.119
100.0,leo1,0.831,-0.119
102.0,leo1,0.827,-0.127
104.0,leo1,0.704,-0.147
106.0,leo1,0.309,-0.004
108.0,leo1,-0.006,0.190
110.0,leo1,-0.046,0.227
112.0,leo1,-0.046,0.227
114.0,leo1,-0.015,0.215
116.0,leo1,-0.033,0.204
118.0,leo1,-0.026,0.101
120.0,leo1,0.184,-0.296
122.0,leo1,0.500,-0.807
124.0,leo1,0.616,-1.177
126.0,leo1,0.626,-1.235
128.0,leo1,0.626,-1.235
130.0,leo1,0.633,-1.677
132.0,leo1,0.705,-2.175
134.0,leo1,0.870,-2.689
136.0,leo1,1.018,-3.168
138.0,leo1,1.130,-3.633
140.0,leo1,1.178,-3.788
142.0,leo1,1.296,-3.954
144.0,leo1,1.614,-4.288
146.0,leo1,1.804,-4.744
148.0,leo1,2.103,-5.015
150.0,leo1,2.479,-5.281
152.0,leo1,2.575,-5.501
154.0,leo1,2.649,-6.034
156.0,leo1,2.671,-6.306
158.0,leo1,2.674,-6.330
160.0,leo1,2.674,-6.330
162.0,leo1,2.729,-6.403
164.0,leo1,3.018,-6.538
166.0,leo1,3.577,-6.566
168.0,leo1,3.946,-6.528
170.0,leo1,3.967,-6.550
172.0,leo1,3.967,-6.550
174.0,leo1,4.377,-6.536
176.0,leo1,4.872,-6.363
178.0,leo1,5.246,-6.024
180.0,leo1,5.552,-5.821
182.0,leo1,5.997,-5.848
184.0,leo1,6.370,-5.969
186.0,leo1,6.545,-6.037
188.0,leo1,7.010,-5.936
190.0,leo1,7.532,-5.885
192.0,leo1,8.014,-5.709
194.0,leo1,8.400,-5.348
196.0,leo1,8.682,-5.051
198.0,leo1,8.741,-5.027
200.0,leo1,8.701,-5.045
202.0,leo1,8.603,-4.939
202.0,leo2,8.513,-4.995
204.0,leo1,8.577,-4.924
204.0,leo2,8.512,-4.992
206.0,leo1,8.451,-4.820
206.0,leo2,8.482,-4.938
208.0,leo1,8.435,-4.496
208.0,leo2,8.524,-4.912
210.0,leo1,8.414,-4.462
210.0,leo2,8.711,-4.850
212.0,leo1,8.402,-4.490
212.0,leo2,8.724,-4.849
214.0,leo1,8.349,-4.539
214.0,leo2,8.724,-4.849
216.0,leo1,8.324,-4.630
216.0,leo2,8.956,-4.856
218.0,leo1,8.431,-4.882
218.0,leo2,9.301,-4.932
220.0,leo1,8.692,-4.958
220.0,leo2,9.821,-4.902
222.0,leo1,8.745,-4.980
222.0,leo2,10.345,-4.973
224.0,leo1,8.725,-4.985
224.0,leo2,10.798,-5.198
226.0,leo1,8.530,-5.284
226.0,leo2,10.991,-5.327
228.0,leo1,8.087,-5.700
228.0,leo2,11.013,-5.335
230.0,leo1,7.686,-5.940
230.0,leo2,11.013,-5.335
232.0,leo1,7.168,-5.985
232.0,leo2,10.998,-5.331
234.0,leo1,6.657,-5.977
234.0,leo2,10.898,-5.307
236.0,leo1,6.124,-5.893
236.0,leo2,10.801,-5.284
238.0,leo1,5.666,-5.836
238.0,leo2,10.729,-5.266
240.0,leo1,5.206,-6.048
240.0,leo2,10.823,-5.267
242.0,leo1,4.853,-6.456
242.0,leo2,10.848,-5.256
244.0,leo1,4.768,-6.618
244.0,leo2,10.835,-5.283
246.0,leo1,4.766,-6.625
246.0,leo2,10.780,-5.171
248.0,leo1,4.843,-6.568
248.0,leo2,10.596,-5.073
250.0,leo1,5.058,-6.301
250.0,leo2,10.313,-5.125
252.0,leo1,5.405,-5.884
252.0,leo2,10.001,-5.335
254.0,leo1,5.746,-5.792
254.0,leo2,9.934,-5.658
256.0,leo1,6.281,-5.796
256.0,leo2,10.013,-6.165
258.0,leo1,6.788,-5.897
258.0,leo2,10.298,-6.564
260.0,leo1,7.308,-6.012
260.0,leo2,10.509,-6.816
262.0,leo1,7.728,-6.277
262.0,leo2,10.565,-6.857
264.0,leo1,8.035,-6.622
264.0,leo2,10.557,-6.841
266.0,leo1,8.093,-7.036
266.0,leo2,10.646,-7.016
268.0,leo1,8.134,-7.572
268.0,leo2,10.822,-7.139
270.0,leo1,8.242,-8.084
270.0,leo2,11.217,-7.204
272.0,leo1,8.187,-8.560
272.0,leo2,11.631,-7.192
274.0,leo1,7.946,-9.017
274.0,leo2,11.679,-7.196
276.0,leo1,7.652,-9.420
276.0,leo2,11.679,-7.196
278.0,leo1,7.227,-9.654
278.0,leo2,11.792,-7.138
280.0,leo1,6.762,-9.815
280.0,leo2,11.931,-6.935
282.0,leo1,6.226,-9.778
282.0,leo2,11.957,-6.577
284.0,leo1,5.736,-9.723
284.0,leo2,11.897,-6.422
286.0,leo1,5.289,-9.518
286.0,leo2,11.894,-6.412
288.0,leo1,5.133,-9.311
288.0,leo2,11.892,-6.406
290.0,leo1,5.104,-9.253
290.0,leo2,11.892,-6.402
292.0,leo1,5.065,-9.288
292.0,leo2,11.891,-6.399
294.0,leo1,5.031,-9.308
294.0,leo2,11.891,-6.398
296.0,leo1,4.992,-9.323
296.0,leo2,11.890,-6.396
298.0,leo1,5.079,-9.368
298.0,leo2,11.890,-6.395
300.0,leo1,5.380,-9.635
300.0,leo2,11.890,-6.394
302.0,leo1,5.785,-9.775
302.0,leo2,11.889,-6.388
304.0,leo1,6.248,-9.824
304.0,leo2,11.889,-6.387
306.0,leo1,6.721,-9.879
306.0,leo2,11.889,-6.386
308.0,leo1,7.221,-9.735
308.0,leo2,11.889,-6.386
310.0,leo1,7.653,-9.588
310.0,leo2,11.889,-6.385
312.0,leo1,7.829,-9.347
312.0,leo2,11.889,-6.385
314.0,leo1,7.940,-8.906
314.0,leo2,11.991,-6.520
316.0,leo1,8.195,-8.477
316.0,leo2,12.068,-6.601
318.0,leo1,8.222,-8.024
318.0,leo2,11.977,-6.559
320.0,leo1,8.138,-7.542
320.0,leo2,11.975,-6.558
322.0,leo1,8.064,-7.052
322.0,leo2,11.966,-6.554
324.0,leo1,7.937,-6.593
324.0,leo2,11.959,-6.550
326.0,leo1,7.669,-6.324
326.0,leo2,11.954,-6.548
328.0,leo1,7.195,-6.135
328.0,leo2,11.951,-6.546
330.0,leo1,6.675,-6.054
330.0,leo2,11.949,-6.546
332.0,leo1,6.147,-5.914
332.0,leo2,11.949,-6.546
334.0,leo1,5.685,-5.833
334.0,leo2,11.948,-6.545
336.0,leo1,5.284,-5.971
336.0,leo2,11.948,-6.545
338.0,leo1,4.914,-6.326
338.0,leo2,11.948,-6.545
340.0,leo1,4.572,-6.488
340.0,leo2,11.948,-6.545
342.0,leo1,4.100,-6.506
342.0,leo2,11.948,-6.545
344.0,leo1,3.564,-6.572
344.0,leo2,11.948,-6.545
346.0,leo1,3.080,-6.490
346.0,leo2,11.948,-6.545
348.0,leo1,2.627,-6.332
348.0,leo2,11.949,-6.545
350.0,leo1,2.181,-6.274
350.0,leo2,11.949,-6.545
352.0,leo1,1.648,-6.362
352.0,leo2,11.949,-6.545
354.0,leo1,1.197,-6.360
354.0,leo2,11.948,-6.545
356.0,leo1,1.194,-6.360
356.0,leo2,11.948,-6.545
358.0,leo1,1.112,-6.426
358.0,leo2,11.948,-6.545
360.0,leo1,0.742,-6.505
360.0,leo2,11.948,-6.545
362.0,leo1,0.615,-6.552
362.0,leo2,11.949,-6.545
364.0,leo1,0.629,-6.502
364.0,leo2,11.948,-6.545
366.0,leo1,0.640,-6.541
366.0,leo2,11.948,-6.545
368.0,leo1,0.682,-6.555
368.0,leo2,11.948,-6.545
370.0,leo1,0.682,-6.555
370.0,leo2,11.948,-6.545
372.0,leo1,0.682,-6.555
372.0,leo2,11.949,-6.545
374.0,leo1,0.682,-6.556
374.0,leo2,11.949,-6.545
376.0,leo1,0.682,-6.556
376.0,leo2,11.949,-6.545
378.0,leo1,0.682,-6.556
378.0,leo2,11.949,-6.546
380.0,leo1,0.682,-6.556
380.0,leo2,11.949,-6.546
382.0,leo1,0.683,-6.556
382.0,leo2,11.949,-6.546
384.0,leo1,0.683,-6.556
384.0,leo2,11.949,-6.546
