t,robot,x,y
88.0,leo1,0.707,0.039
90.0,leo1,0.707,0.039
92.0,leo1,0.707,0.039
94.0,leo1,0.736,0.025
96.0,leo1,0.808,-0.063
98.0,leo1,0.831,-0.119
100.0,leo1,0.831,-0.119
102.0,leo1,0.827,-0.127
104.0,leo1,0.704,-0.147
106.0,leo1,0.309,-0.004
108.0,leo1,-0.006,0.190
110.0,leo1,-0.046,0.227
112.0,leo1,-0.046,0.227
114.0,leo1,-0.015,0.215
116.0,leo1,-0.033,0.204
118.0,leo1,-0.026,0.101
120.0,leo1,0.184,-0.296
122.0,leo1,0.500,-0.807
124.0,leo1,0.616,-1.177
126.0,leo1,0.626,-1.235
128.0,leo1,0.626,-1.235
130.0,leo1,0.633,-1.677
132.0,leo1,0.705,-2.175
134.0,leo1,0.870,-2.689
136.0,leo1,1.018,-3.168
138.0,leo1,1.130,-3.633
140.0,leo1,1.178,-3.788
142.0,leo1,1.296,-3.954
144.0,leo1,1.614,-4.288
146.0,leo1,1.804,-4.744
148.0,leo1,2.103,-5.015
150.0,leo1,2.479,-5.281
152.0,leo1,2.575,-5.501
154.0,leo1,2.649,-6.034
156.0,leo1,2.671,-6.306
158.0,leo1,2.674,-6.330
160.0,leo1,2.674,-6.330
162.0,leo1,2.729,-6.403
164.0,leo1,3.018,-6.538
166.0,leo1,3.577,-6.566
168.0,leo1,3.946,-6.528
170.0,leo1,3.967,-6.550
172.0,leo1,3.967,-6.550
174.0,leo1,4.377,-6.536
176.0,leo1,4.872,-6.363
178.0,leo1,5.246,-6.024
180.0,leo1,5.552,-5.821
182.0,leo1,5.997,-5.848
184.0,leo1,6.370,-5.969
186.0,leo1,6.545,-6.037
188.0,leo1,7.010,-5.936
190.0,leo1,7.532,-5.885
192.0,leo1,8.014,-5.709
194.0,leo1,8.400,-5.348
196.0,leo1,8.682,-5.051
198.0,leo1,8.741,-5.027
200.0,leo1,8.701,-5.045
202.0,leo1,8.603,-4.939
204.0,leo1,8.577,-4.924
206.0,leo1,8.451,-4.820
208.0,leo1,8.435,-4.496
210.0,leo1,8.414,-4.462
212.0,leo1,8.402,-4.490
214.0,leo1,8.349,-4.539
216.0,leo1,8.324,-4.630
218.0,leo1,8.431,-4.882
220.0,leo1,8.692,-4.958
222.0,leo1,8.745,-4.980
224.0,leo1,8.725,-4.985
226.0,leo1,8.530,-5.284
228.0,leo1,8.087,-5.700
230.0,leo1,7.686,-5.940
232.0,leo1,7.168,-5.985
234.0,leo1,6.657,-5.977
236.0,leo1,6.124,-5.893
238.0,leo1,5.666,-5.836
240.0,leo1,5.206,-6.048
242.0,leo1,4.853,-6.456
244.0,leo1,4.768,-6.618
246.0,leo1,4.766,-6.625
248.0,leo1,4.843,-6.568
250.0,leo1,5.058,-6.301
252.0,leo1,5.405,-5.884
254.0,leo1,5.746,-5.792
256.0,leo1,6.281,-5.796
258.0,leo1,6.788,-5.897
260.0,leo1,7.308,-6.012
262.0,leo1,7.728,-6.277
264.0,leo1,8.035,-6.622
266.0,leo1,8.093,-7.036
268.0,leo1,8.134,-7.572
270.0,leo1,8.242,-8.084
272.0,leo1,8.187,-8.560
274.0,leo1,7.946,-9.017
276.0,leo1,7.652,-9.420
278.0,leo1,7.227,-9.654
280.0,leo1,6.762,-9.815
282.0,leo1,6.226,-9.778
284.0,leo1,5.736,-9.723
286.0,leo1,5.289,-9.518
288.0,leo1,5.133,-9.311
290.0,leo1,5.104,-9.253
292.0,leo1,5.065,-9.288
294.0,leo1,5.031,-9.308
296.0,leo1,4.992,-9.323
298.0,leo1,5.079,-9.368
300.0,leo1,5.380,-9.635
302.0,leo1,5.785,-9.775
304.0,leo1,6.248,-9.824
306.0,leo1,6.721,-9.879
308.0,leo1,7.221,-9.735
310.0,leo1,7.653,-9.588
312.0,leo1,7.829,-9.347
314.0,leo1,7.940,-8.906
316.0,leo1,8.195,-8.477
318.0,leo1,8.222,-8.024
320.0,leo1,8.138,-7.542
322.0,leo1,8.064,-7.052
324.0,leo1,7.937,-6.593
326.0,leo1,7.669,-6.324
328.0,leo1,7.195,-6.135
330.0,leo1,6.675,-6.054
332.0,leo1,6.147,-5.914
334.0,leo1,5.685,-5.833
336.0,leo1,5.284,-5.971
338.0,leo1,4.914,-6.326
340.0,leo1,4.572,-6.488
342.0,leo1,4.100,-6.506
344.0,leo1,3.564,-6.572
346.0,leo1,3.080,-6.490
348.0,leo1,2.627,-6.332
350.0,leo1,2.181,-6.274
352.0,leo1,1.648,-6.362
354.0,leo1,1.197,-6.360
356.0,leo1,1.194,-6.360
358.0,leo1,1.112,-6.426
360.0,leo1,0.742,-6.505
362.0,leo1,0.615,-6.552
364.0,leo1,0.629,-6.502
366.0,leo1,0.640,-6.541
368.0,leo1,0.682,-6.555
370.0,leo1,0.682,-6.555
372.0,leo1,0.682,-6.555
374.0,leo1,0.682,-6.556
376.0,leo1,0.682,-6.556
378.0,leo1,0.682,-6.556
380.0,leo1,0.682,-6.556
382.0,leo1,0.683,-6.556
384.0,leo1,0.683,-6.556
