t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
79.9,,,,nan,,,,nan,0,,,0,0,0
80.0,,,,nan,,,,nan,0,,,0,0,0
85.0,,,,0.000,,,,nan,0,,,1,0,0
90.0,,,,0.000,,,,nan,0,,,1,0,0
95.0,,,,0.000,,,,nan,0,,,1,0,0
100.0,,,,0.000,,,,nan,0,,,1,0,0
105.0,,,,0.000,,,,0.404,0,,,1,0,0
110.0,,,,0.000,,,,0.366,0,,,1,0,0
115.0,,,,0.000,,,,0.367,0,,,1,0,0
120.0,,,,0.000,,,,0.333,0,,,2,0,0
125.0,,,,0.000,,,,0.367,0,,,2,0,0
130.0,,,,0.000,,,,0.370,0,,,2,0,0
135.0,,,,0.000,,,,0.371,0,,,2,0,0
140.0,,,,0.000,,,,0.360,0,,,2,0,0
145.0,,,,0.000,,,,0.358,0,,,2,0,0
150.0,,,,0.000,,,,0.294,0,,,2,0,0
155.0,,,,0.000,,,,0.298,0,,,2,0,0
160.0,,,,0.000,,,,0.300,0,,,2,1,0
165.0,,,,0.000,,,,0.308,0,,,2,1,0
170.0,,,,0.000,,,,0.313,0,,,2,1,0
175.0,,,,0.000,,,,0.316,0,,,2,1,0
180.0,,,,0.000,,,,0.314,0,,,2,1,0
185.0,,,,0.000,,,,0.317,0,,,2,1,0
190.0,,,,0.000,,,,0.318,0,,,2,1,0
195.0,,,,0.000,,,,0.319,0,,,2,1,0
200.0,,,,0.000,,,,0.320,0,,,2,1,0
205.0,,,,0.000,,,,0.321,0,,,2,1,0
210.0,,,,0.000,,,,0.321,0,,,2,1,0
215.0,,,,0.000,,,,0.321,0,,,2,2,0
220.0,,,,0.000,,,,0.323,0,,,2,2,0
225.0,,,,0.000,,,,0.277,0,,,2,2,0
230.0,,,,0.000,,,,0.328,0,,,2,2,0
235.0,,,,0.000,,,,0.324,0,,,2,2,0
240.0,,,,0.000,,,,0.319,0,,,2,2,0
245.0,,,,0.000,,,,0.321,0,,,2,2,0
250.0,,,,0.000,,,,0.342,0,,,2,2,0
255.0,,,,0.000,,,,0.343,0,,,2,2,0
260.0,,,,0.000,,,,0.332,0,,,2,2,0
265.0,,,,0.000,,,,0.332,0,,,2,2,0
270.0,,,,0.000,,,,0.333,0,,,2,2,0
275.0,,,,0.000,,,,0.341,0,,,2,2,0
280.0,,,,0.000,,,,0.321,0,,,2,2,0
285.0,,,,0.000,,,,0.352,0,,,2,2,0
290.0,,,,0.000,,,,0.342,0,,,2,2,0
295.0,,,,0.000,,,,0.329,0,,,2,2,0
300.0,,,,0.000,,,,0.338,0,,,2,2,0
305.0,,,,0.000,,,,0.337,0,,,2,3,0
310.0,,,,0.000,,,,0.338,0,,,2,3,0
315.0,,,,0.000,,,,0.338,0,,,2,3,0
320.0,,,,0.000,,,,0.320,0,,,2,3,0
325.0,,,,0.000,,,,0.310,0,,,2,4,0
330.0,,,,0.000,,,,0.312,0,,,2,4,0
335.0,,,,0.000,,,,0.321,0,,,2,4,0
340.0,,,,0.000,,,,0.337,0,,,2,4,0
345.0,,,,0.000,,,,0.338,0,,,2,4,0
350.0,,,,0.000,,,,0.338,0,,,2,4,0
355.0,,,,0.000,,,,0.346,0,,,2,4,0
360.0,,,,0.000,,,,0.329,0,,,2,4,0
