t,robot,x,y
82.0,leo1,0.603,0.031
84.0,leo1,0.603,0.031
86.0,leo1,0.719,0.013
88.0,leo1,0.768,-0.009
90.0,leo1,0.766,-0.003
92.0,leo1,0.725,-0.070
94.0,leo1,0.528,-0.264
96.0,leo1,0.074,-0.464
98.0,leo1,0.064,-0.451
100.0,leo1,-0.014,-0.328
102.0,leo1,-0.034,0.079
104.0,leo1,-0.049,0.139
106.0,leo1,-0.043,0.144
108.0,leo1,-0.076,0.129
110.0,leo1,0.082,0.010
112.0,leo1,0.314,-0.391
114.0,leo1,0.553,-0.960
116.0,leo1,0.611,-1.454
118.0,leo1,0.762,-1.968
120.0,leo1,0.842,-2.456
122.0,leo1,0.957,-2.973
124.0,leo1,1.065,-3.375
126.0,leo1,1.081,-3.436
128.0,leo1,1.081,-3.436
130.0,leo1,1.081,-3.436
132.0,leo1,1.081,-3.436
134.0,leo1,1.075,-3.607
136.0,leo1,0.921,-3.844
138.0,leo1,0.590,-4.084
140.0,leo1,0.572,-4.100
142.0,leo1,0.572,-4.100
144.0,leo1,0.572,-4.100
146.0,leo1,0.572,-4.100
148.0,leo1,0.572,-4.100
150.0,leo1,0.572,-4.100
152.0,leo1,0.572,-4.100
154.0,leo1,0.572,-4.100
156.0,leo1,0.572,-4.100
158.0,leo1,0.572,-4.100
160.0,leo1,0.572,-4.100
162.0,leo1,0.572,-4.100
164.0,leo1,0.572,-4.100
166.0,leo1,0.572,-4.100
168.0,leo1,0.572,-4.100
170.0,leo1,0.572,-4.100
172.0,leo1,0.572,-4.100
174.0,leo1,0.572,-4.100
176.0,leo1,0.572,-4.100
178.0,leo1,0.572,-4.100
180.0,leo1,0.572,-4.100
182.0,leo1,0.572,-4.100
184.0,leo1,0.572,-4.100
186.0,leo1,0.572,-4.100
188.0,leo1,0.572,-4.100
190.0,leo1,0.572,-4.100
192.0,leo1,0.572,-4.100
194.0,leo1,0.572,-4.100
196.0,leo1,0.572,-4.100
198.0,leo1,0.572,-4.100
200.0,leo1,0.572,-4.100
202.0,leo1,0.572,-4.100
204.0,leo1,0.572,-4.100
206.0,leo1,0.572,-4.100
208.0,leo1,0.572,-4.100
210.0,leo1,0.572,-4.100
212.0,leo1,0.572,-4.100
214.0,leo1,0.572,-4.100
216.0,leo1,0.572,-4.100
218.0,leo1,0.572,-4.100
220.0,leo1,0.572,-4.100
222.0,leo1,0.572,-4.100
224.0,leo1,0.572,-4.100
226.0,leo1,0.572,-4.100
228.0,leo1,0.572,-4.100
230.0,leo1,0.572,-4.100
232.0,leo1,0.572,-4.100
234.0,leo1,0.572,-4.100
236.0,leo1,0.572,-4.100
238.0,leo1,0.572,-4.100
240.0,leo1,0.572,-4.100
242.0,leo1,0.572,-4.100
244.0,leo1,0.572,-4.100
246.0,leo1,0.572,-4.100
248.0,leo1,0.572,-4.100
250.0,leo1,0.572,-4.100
252.0,leo1,0.572,-4.100
254.0,leo1,0.572,-4.100
256.0,leo1,0.572,-4.100
258.0,leo1,0.572,-4.100
260.0,leo1,0.572,-4.100
262.0,leo1,0.572,-4.100
264.0,leo1,0.572,-4.100
266.0,leo1,0.572,-4.100
268.0,leo1,0.572,-4.100
270.0,leo1,0.572,-4.100
272.0,leo1,0.572,-4.100
274.0,leo1,0.572,-4.100
276.0,leo1,0.572,-4.100
278.0,leo1,0.572,-4.100
280.0,leo1,0.572,-4.100
282.0,leo1,0.572,-4.100
284.0,leo1,0.572,-4.100
286.0,leo1,0.572,-4.100
288.0,leo1,0.572,-4.100
290.0,leo1,0.572,-4.100
292.0,leo1,0.572,-4.100
294.0,leo1,0.572,-4.100
296.0,leo1,0.572,-4.100
298.0,leo1,0.572,-4.100
300.0,leo1,0.572,-4.100
302.0,leo1,0.572,-4.100
304.0,leo1,0.572,-4.100
306.0,leo1,0.572,-4.100
308.0,leo1,0.572,-4.100
310.0,leo1,0.572,-4.100
312.0,leo1,0.572,-4.100
314.0,leo1,0.572,-4.100
316.0,leo1,0.572,-4.100
318.0,leo1,0.572,-4.100
320.0,leo1,0.572,-4.100
322.0,leo1,0.572,-4.100
324.0,leo1,0.572,-4.100
326.0,leo1,0.572,-4.100
328.0,leo1,0.572,-4.100
330.0,leo1,0.572,-4.100
332.0,leo1,0.572,-4.100
334.0,leo1,0.572,-4.100
336.0,leo1,0.572,-4.100
338.0,leo1,0.572,-4.100
340.0,leo1,0.572,-4.100
342.0,leo1,0.572,-4.100
344.0,leo1,0.572,-4.100
346.0,leo1,0.572,-4.100
348.0,leo1,0.572,-4.100
350.0,leo1,0.572,-4.100
352.0,leo1,0.572,-4.100
354.0,leo1,0.572,-4.100
356.0,leo1,0.572,-4.100
358.0,leo1,0.572,-4.100
360.0,leo1,0.572,-4.100
362.0,leo1,0.572,-4.100
