t,robot,x,y
82.0,leo2,0.486,0.008
84.0,leo2,0.486,0.008
86.0,leo2,0.432,0.008
88.0,leo2,0.384,0.022
90.0,leo2,0.372,0.031
92.0,leo2,0.342,0.014
94.0,leo2,0.142,-0.389
96.0,leo2,0.033,-0.751
98.0,leo2,0.035,-0.768
100.0,leo2,0.035,-0.768
102.0,leo2,0.035,-0.768
104.0,leo2,0.035,-0.768
106.0,leo2,-0.044,-0.928
108.0,leo2,-0.362,-1.181
110.0,leo2,-0.397,-1.145
112.0,leo2,-0.409,-1.150
114.0,leo2,-0.419,-1.154
116.0,leo2,-0.420,-1.154
118.0,leo2,-0.391,-1.146
120.0,leo2,-0.324,-1.142
122.0,leo2,-0.270,-1.155
124.0,leo2,-0.259,-1.161
126.0,leo2,-0.257,-1.074
128.0,leo2,-0.135,-0.878
130.0,leo2,0.171,-0.614
132.0,leo2,0.601,-0.590
134.0,leo2,0.856,-0.523
136.0,leo2,0.843,-0.560
138.0,leo2,0.797,-0.501
140.0,leo2,0.541,-0.455
142.0,leo2,0.244,-0.499
144.0,leo2,0.212,-0.485
146.0,leo2,0.231,-0.498
148.0,leo2,0.247,-0.477
150.0,leo2,0.577,-0.467
152.0,leo2,1.188,-0.492
154.0,leo2,1.345,-0.457
156.0,leo2,1.332,-0.498
158.0,leo2,1.323,-0.468
160.0,leo2,1.076,-0.455
162.0,leo2,0.476,-0.530
164.0,leo2,0.268,-0.488
166.0,leo2,0.274,-0.510
168.0,leo2,0.288,-0.488
170.0,leo2,0.460,-0.447
172.0,leo2,1.036,-0.511
174.0,leo2,1.514,-0.445
176.0,leo2,1.527,-0.441
178.0,leo2,1.514,-0.448
180.0,leo2,1.453,-0.440
182.0,leo2,1.378,-0.441
184.0,leo2,1.363,-0.428
186.0,leo2,1.369,-0.436
188.0,leo2,1.266,-0.432
190.0,leo2,1.245,-0.424
192.0,leo2,1.258,-0.465
194.0,leo2,1.263,-0.439
196.0,leo2,1.258,-0.431
198.0,leo2,1.260,-0.432
200.0,leo2,1.260,-0.432
202.0,leo2,1.258,-0.443
204.0,leo2,1.229,-0.529
206.0,leo2,1.327,-0.883
208.0,leo2,1.420,-1.480
210.0,leo2,1.532,-1.991
212.0,leo2,1.632,-2.482
214.0,leo2,1.654,-3.007
216.0,leo2,1.754,-3.248
218.0,leo2,1.807,-3.269
220.0,leo2,1.855,-3.430
222.0,leo2,1.709,-3.899
224.0,leo2,1.473,-4.371
226.0,leo2,1.336,-4.866
228.0,leo2,1.196,-5.363
230.0,leo2,1.204,-5.860
232.0,leo2,1.236,-6.391
234.0,leo2,1.410,-6.801
236.0,leo2,1.449,-6.851
238.0,leo2,1.462,-6.875
240.0,leo2,1.504,-6.877
242.0,leo2,1.833,-6.750
244.0,leo2,2.172,-6.659
246.0,leo2,2.238,-6.675
248.0,leo2,2.238,-6.675
250.0,leo2,2.686,-6.663
252.0,leo2,3.223,-6.689
254.0,leo2,3.557,-6.685
256.0,leo2,3.557,-6.685
258.0,leo2,3.561,-6.681
260.0,leo2,3.546,-6.732
262.0,leo2,3.452,-6.652
264.0,leo2,3.121,-6.658
266.0,leo2,2.554,-6.660
268.0,leo2,2.004,-6.702
270.0,leo2,1.568,-6.694
272.0,leo2,1.349,-6.552
274.0,leo2,1.244,-6.355
276.0,leo2,1.268,-5.811
278.0,leo2,1.243,-5.334
280.0,leo2,1.419,-5.001
282.0,leo2,1.460,-4.896
284.0,leo2,1.447,-4.466
286.0,leo2,1.612,-4.162
288.0,leo2,1.898,-4.024
290.0,leo2,2.417,-3.993
292.0,leo2,2.929,-4.100
294.0,leo2,3.401,-4.327
296.0,leo2,3.782,-4.562
298.0,leo2,3.848,-4.605
300.0,leo2,3.855,-4.604
302.0,leo2,3.854,-4.612
304.0,leo2,3.797,-4.547
306.0,leo2,3.504,-4.348
308.0,leo2,2.970,-4.118
310.0,leo2,2.457,-4.018
312.0,leo2,1.997,-4.101
314.0,leo2,1.562,-4.376
316.0,leo2,1.151,-4.673
318.0,leo2,0.750,-4.846
320.0,leo2,0.239,-4.852
322.0,leo2,0.015,-4.818
324.0,leo2,-0.115,-4.665
326.0,leo2,-0.099,-4.235
328.0,leo2,-0.177,-3.734
330.0,leo2,-0.388,-3.459
332.0,leo2,-0.555,-3.350
334.0,leo2,-0.549,-3.359
336.0,leo2,-0.527,-3.351
338.0,leo2,-0.562,-3.364
340.0,leo2,-0.476,-3.384
342.0,leo2,-0.462,-3.373
344.0,leo2,-0.477,-3.356
346.0,leo2,-0.661,-3.034
348.0,leo2,-0.934,-2.724
350.0,leo2,-1.337,-2.634
352.0,leo2,-1.874,-2.675
354.0,leo2,-2.154,-2.809
356.0,leo2,-2.305,-3.041
358.0,leo2,-2.279,-3.329
360.0,leo2,-2.274,-3.339
362.0,leo2,-2.290,-3.295
