t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
117.2,,,,nan,,,,nan,0,,,0,0,0
120.0,,,,0.000,,,,nan,0,,,0,0,0
125.0,,,,0.000,,,,nan,0,,,0,0,0
130.0,,,,0.000,,,,nan,0,,,0,0,0
135.0,,,,0.000,,,,nan,0,,,0,0,0
140.0,,,,0.000,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,0.425,0,,,0,1,0
155.0,,,,0.000,,,,0.417,0,,,0,1,0
160.0,,,,0.000,,,,0.385,0,,,0,1,0
165.0,,,,0.000,,,,0.385,0,,,0,1,0
170.0,,,,0.000,4.5500,-1.3500,-89.000,0.455,0,7.8054,91.000,0,1,0
175.0,,,,0.000,4.5500,-1.3500,-89.000,0.493,0,7.8054,91.000,0,1,0
180.0,,,,0.000,4.5500,-1.3500,-89.000,0.489,0,7.8054,91.000,1,1,0
185.0,,,,0.000,4.5500,-1.3500,-89.000,0.489,0,7.8054,91.000,1,1,0
190.0,,,,0.000,4.5500,-1.3500,-89.000,0.294,0,7.8054,91.000,1,1,0
195.0,,,,0.000,4.5500,-1.3500,-89.000,0.388,0,7.8054,91.000,1,1,0
200.0,,,,0.000,4.5500,-1.3500,-89.000,0.494,0,7.8054,91.000,1,1,0
205.0,2.5306,-9.8898,161.044,0.175,4.5500,-1.3500,-89.000,0.478,0,7.8054,91.000,1,2,1
210.0,2.8611,-9.4874,164.426,0.175,4.5500,-1.3500,-89.000,0.548,0,7.8054,91.000,1,2,1
215.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.545,0,7.8054,91.000,1,2,1
220.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.529,0,7.8054,91.000,1,2,1
225.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.540,0,7.8054,91.000,1,2,1
230.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.550,0,7.8054,91.000,1,2,1
235.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.550,0,7.8054,91.000,1,2,1
240.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.558,0,7.8054,91.000,1,2,1
245.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.573,0,7.8054,91.000,1,2,1
250.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.593,0,7.8054,91.000,1,2,1
255.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.567,0,7.8054,91.000,1,2,1
260.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.567,0,7.8054,91.000,1,2,1
265.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.579,0,7.8054,91.000,1,4,1
270.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.543,0,7.8054,91.000,1,4,1
275.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.569,0,7.8054,91.000,1,4,1
280.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.559,0,7.8054,91.000,1,4,1
285.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.559,0,7.8054,91.000,1,4,1
290.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.554,0,7.8054,91.000,1,4,1
295.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.574,0,7.8054,91.000,1,4,1
300.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.551,0,7.8054,91.000,1,4,1
305.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.553,0,7.8054,91.000,1,4,1
310.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.553,0,7.8054,91.000,1,5,1
315.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.555,0,7.8054,91.000,1,5,1
320.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.557,0,7.8054,91.000,1,5,1
325.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.564,0,7.8054,91.000,1,5,1
330.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.565,0,7.8054,91.000,1,5,1
335.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.565,0,7.8054,91.000,1,5,1
340.0,2.9419,-9.4485,163.971,0.175,4.5500,-1.3500,-89.000,0.565,0,7.8054,91.000,1,5,1
345.0,2.7078,-8.9343,177.339,0.350,4.5500,-1.3500,-89.000,0.566,0,7.8054,91.000,2,5,2
350.0,2.7038,-8.9503,177.591,0.350,4.5500,-1.3500,-89.000,0.681,0,7.8054,91.000,2,5,2
355.0,2.7020,-8.9573,177.706,0.350,4.5500,-1.3500,-89.000,0.655,0,7.8054,91.000,2,5,2
360.0,2.7020,-8.9573,177.706,0.350,4.5500,-1.3500,-89.000,0.641,0,7.8054,91.000,2,5,2
365.0,2.7020,-8.9573,177.706,0.350,4.5500,-1.3500,-89.000,0.668,0,7.8054,91.000,2,5,2
