t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
139.380,3,4.3209,29.21,0.518,4.0284,1.5594,-0.1017,2.0223,-4.6308,0.0983
140.078,3,4.3851,26.01,0.052,4.3287,-0.6928,-0.1045,2.0613,-4.7382,0.0955
170.385,6,4.0622,27.83,1.386,3.9450,0.9662,-0.0698,0.4669,-9.3947,0.1302
171.666,6,4.4015,26.76,0.301,4.1567,1.4458,-0.0708,0.4192,-10.0616,0.1292
174.366,6,4.4702,25.91,0.934,4.2750,1.3029,-0.0990,0.3588,-10.8152,0.1010
176.368,6,4.3183,30.92,1.192,3.8128,2.0250,-0.0968,0.3060,-11.0921,0.1032
342.537,1,4.3499,27.76,0.611,4.1817,1.1934,-0.1017,-0.2285,2.6533,0.0983
342.868,1,4.3015,27.48,0.753,4.2980,-0.1379,-0.1020,-0.2049,2.6279,0.0980
343.168,1,4.3644,28.79,0.779,4.1191,-1.4388,-0.1024,-0.2282,2.6729,0.0976
343.858,1,4.3357,30.88,1.386,3.8370,-2.0161,-0.1062,-0.3385,2.5115,0.0938
344.164,1,4.3712,28.88,0.796,4.1166,-1.4666,-0.1025,-0.3909,2.5371,0.0975
344.531,1,4.3215,27.79,0.606,4.2209,-0.9216,-0.1009,-0.3682,2.5090,0.0991
344.853,1,4.2710,28.05,0.868,4.2498,-0.4128,-0.1027,-0.3398,2.4735,0.0973
345.171,1,4.2850,27.00,0.445,4.2828,0.0909,-0.1024,-0.3519,2.4840,0.0976
345.533,1,4.2637,27.80,0.705,4.2205,0.5968,-0.1011,-0.3353,2.4641,0.0989
345.860,1,4.3510,27.82,0.643,4.1899,1.1687,-0.1025,-0.3959,2.5095,0.0975
346.164,1,4.3186,29.79,0.897,3.9485,1.7463,-0.1017,-0.3683,2.4622,0.0983
349.161,1,4.3483,29.90,0.987,3.9597,1.7940,-0.1024,-0.3820,2.4716,0.0976
349.525,1,4.3586,27.83,0.638,4.1873,1.2058,-0.1021,-0.3967,2.5030,0.0979
349.861,1,4.3907,27.00,0.695,4.3410,0.6505,-0.1041,-0.4258,2.5398,0.0959
350.172,1,4.3292,27.24,0.721,4.3264,0.1189,-0.1026,-0.3839,2.5034,0.0974
350.533,1,4.2737,27.41,0.556,4.2549,-0.3868,-0.1010,-0.3427,2.4632,0.0990
350.857,1,4.3241,27.75,0.616,4.2297,-0.8929,-0.1012,-0.3721,2.4966,0.0988
351.156,1,4.3411,28.89,0.710,4.0984,-1.4275,-0.1020,-0.3714,2.5035,0.0980
351.531,1,4.4210,30.87,1.441,3.9306,-2.0211,-0.1004,-0.4022,2.5556,0.0996
368.813,5,2.1898,56.47,0.358,2.0855,0.6611,-0.0955,2.0650,-6.4672,0.1045
369.480,5,2.0196,61.99,0.463,1.9139,0.6375,-0.0958,2.0373,-6.4517,0.1042
370.484,5,1.7862,71.86,0.599,1.6679,0.6319,-0.0972,2.0442,-6.4737,0.1028
370.846,6,4.4037,24.81,1.547,4.3230,-0.8366,-0.0676,0.6497,-9.2708,0.1324
370.846,5,1.7354,76.04,1.215,1.6021,0.6600,-0.0975,2.0579,-6.5030,0.1025
371.175,6,4.3592,25.90,0.014,4.2833,-0.8076,-0.0618,0.6434,-9.3151,0.1382
371.175,5,1.6388,81.18,1.611,1.4913,0.6720,-0.1003,2.0551,-6.4881,0.0997
371.483,5,1.5310,86.92,0.176,1.3706,0.6753,-0.0966,2.0456,-6.4590,0.1034
371.861,6,4.2249,25.78,1.472,4.1571,-0.7508,-0.0688,0.6445,-9.3531,0.1312
372.173,6,4.2233,25.78,1.472,4.1568,-0.7432,-0.0688,0.6364,-9.4396,0.1312
372.850,6,4.0750,27.19,1.552,4.0049,-0.7492,-0.0700,0.6366,-9.4611,0.1300
377.481,6,4.4059,26.93,0.548,4.2609,-1.1177,-0.0859,0.3645,-10.9092,0.1141
