t,robot,x,y
118.0,leo1,0.921,0.019
120.0,leo1,0.921,0.019
122.0,leo1,0.921,0.019
124.0,leo1,0.921,0.019
126.0,leo1,0.945,0.010
128.0,leo1,0.933,0.038
130.0,leo1,0.854,-0.078
132.0,leo1,0.498,-0.301
134.0,leo1,-0.035,-0.571
136.0,leo1,-0.167,-0.670
138.0,leo1,-0.164,-0.666
140.0,leo1,-0.141,-0.665
142.0,leo1,-0.007,-0.726
144.0,leo1,0.493,-0.752
146.0,leo1,1.098,-0.735
148.0,leo1,1.611,-0.729
150.0,leo1,1.931,-0.725
152.0,leo1,1.948,-0.734
154.0,leo1,1.954,-1.011
156.0,leo1,1.731,-1.530
158.0,leo1,1.493,-2.000
160.0,leo1,1.318,-2.451
162.0,leo1,1.235,-2.968
164.0,leo1,1.181,-3.505
166.0,leo1,1.087,-4.003
168.0,leo1,0.980,-4.524
170.0,leo1,0.852,-5.024
172.0,leo1,0.668,-5.519
174.0,leo1,0.501,-6.026
176.0,leo1,0.299,-6.524
178.0,leo1,0.076,-6.940
180.0,leo1,-0.195,-7.402
182.0,leo1,-0.317,-7.590
184.0,leo1,-0.584,-7.685
186.0,leo1,-1.095,-7.701
188.0,leo1,-1.611,-7.780
190.0,leo1,-2.119,-7.948
192.0,leo1,-2.480,-8.093
194.0,leo1,-2.629,-8.135
196.0,leo1,-3.157,-8.152
198.0,leo1,-3.683,-8.133
200.0,leo1,-4.208,-8.088
202.0,leo1,-4.728,-8.058
204.0,leo1,-5.211,-8.010
206.0,leo1,-5.298,-7.963
208.0,leo1,-5.385,-7.806
210.0,leo1,-5.381,-7.328
212.0,leo1,-5.370,-6.766
214.0,leo1,-5.360,-6.234
216.0,leo1,-5.366,-5.861
218.0,leo1,-5.357,-5.521
220.0,leo1,-5.207,-5.257
222.0,leo1,-4.825,-4.949
224.0,leo1,-4.533,-4.659
226.0,leo1,-4.471,-4.373
228.0,leo1,-4.476,-4.210
230.0,leo1,-4.421,-3.813
232.0,leo1,-4.365,-3.298
234.0,leo1,-4.300,-2.783
236.0,leo1,-4.155,-2.279
238.0,leo1,-4.043,-1.935
240.0,leo1,-4.041,-1.931
242.0,leo1,-4.037,-1.734
244.0,leo1,-4.225,-1.305
246.0,leo1,-4.524,-0.877
248.0,leo1,-4.819,-0.458
250.0,leo1,-5.156,-0.050
252.0,leo1,-5.456,0.215
254.0,leo1,-5.493,0.244
256.0,leo1,-5.493,0.244
258.0,leo1,-5.483,0.222
260.0,leo1,-5.446,0.264
262.0,leo1,-5.147,0.444
264.0,leo1,-4.583,0.664
266.0,leo1,-4.148,0.955
268.0,leo1,-3.727,1.245
270.0,leo1,-3.250,1.408
272.0,leo1,-2.827,1.383
274.0,leo1,-2.509,1.094
276.0,leo1,-2.156,0.766
278.0,leo1,-1.745,0.635
280.0,leo1,-1.207,0.613
282.0,leo1,-0.723,0.554
284.0,leo1,-0.195,0.513
286.0,leo1,0.315,0.463
288.0,leo1,0.849,0.379
290.0,leo1,1.356,0.271
292.0,leo1,1.850,0.120
294.0,leo1,2.353,-0.065
296.0,leo1,2.692,-0.184
298.0,leo1,2.823,-0.236
300.0,leo1,2.892,-0.254
302.0,leo1,2.905,-0.256
304.0,leo1,2.915,-0.256
306.0,leo1,2.941,-0.256
308.0,leo1,2.970,-0.257
310.0,leo1,2.914,-0.256
312.0,leo1,2.794,-0.260
314.0,leo1,2.650,-0.264
316.0,leo1,2.759,-0.260
318.0,leo1,2.862,-0.256
320.0,leo1,2.966,-0.251
322.0,leo1,3.024,-0.248
324.0,leo1,3.067,-0.245
326.0,leo1,2.897,-0.386
328.0,leo1,2.846,-0.532
330.0,leo1,2.846,-0.536
332.0,leo1,2.847,-0.540
334.0,leo1,2.863,-0.618
336.0,leo1,2.882,-0.712
338.0,leo1,2.818,-0.756
340.0,leo1,2.833,-0.853
342.0,leo1,2.856,-0.749
344.0,leo1,2.847,-0.740
346.0,leo1,2.849,-0.750
348.0,leo1,2.855,-0.776
350.0,leo1,2.841,-0.746
352.0,leo1,2.883,-0.760
354.0,leo1,2.690,-0.871
356.0,leo1,2.319,-1.306
358.0,leo1,1.905,-1.633
360.0,leo1,1.523,-1.969
362.0,leo1,1.310,-2.435
364.0,leo1,1.291,-2.935
366.0,leo1,1.296,-3.447
368.0,leo1,1.321,-3.982
