coverage: t=30s known=15.1m2 free=14.0m2 occ=1.0m2 (95x190)
coverage: t=60s known=27.5m2 free=25.1m2 occ=2.4m2 (222x216)
coverage: t=90s known=43.3m2 free=40.0m2 occ=3.4m2 (282x255)
coverage: t=120s known=76.0m2 free=70.2m2 occ=5.8m2 (283x268)
coverage: t=150s known=87.7m2 free=81.0m2 occ=6.8m2 (283x268)
coverage: t=180s known=88.5m2 free=81.5m2 occ=7.0m2 (283x268)
coverage: t=210s known=89.2m2 free=82.2m2 occ=7.0m2 (283x268)
coverage: t=240s known=89.2m2 free=82.2m2 occ=7.0m2 (283x268)
coverage: t=270s known=89.2m2 free=82.2m2 occ=7.0m2 (283x268)
coverage: t=300s known=89.2m2 free=82.2m2 occ=7.0m2 (283x268)
coverage: t=330s known=89.2m2 free=82.2m2 occ=7.0m2 (283x268)
coverage: t=360s known=89.7m2 free=82.7m2 occ=7.0m2 (283x268)
coverage: t=390s known=90.4m2 free=83.3m2 occ=7.1m2 (283x268)
coverage: t=420s known=90.4m2 free=83.3m2 occ=7.1m2 (283x268)
coverage: t=450s known=90.4m2 free=83.3m2 occ=7.1m2 (283x268)
coverage: t=480s known=91.2m2 free=84.0m2 occ=7.2m2 (283x268)
coverage: t=510s known=92.0m2 free=84.7m2 occ=7.4m2 (283x268)
coverage: t=540s known=97.0m2 free=89.3m2 occ=7.6m2 (283x268)
coverage: t=570s known=96.7m2 free=85.4m2 occ=11.2m2 (290x297)
coverage: t=600s known=96.8m2 free=85.5m2 occ=11.4m2 (290x297)
coverage: t=630s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=660s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=690s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=720s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=750s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=780s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=810s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=840s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=870s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=900s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=930s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=960s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=990s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1020s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1050s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1080s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1110s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1140s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1170s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1200s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1230s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1260s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=1290s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
