coverage: t=30s known=5.7m2 free=5.4m2 occ=0.4m2 (88x189)
coverage: t=60s known=23.3m2 free=21.4m2 occ=1.9m2 (148x190)
coverage: t=90s known=48.3m2 free=44.7m2 occ=3.6m2 (282x256)
coverage: t=120s known=61.1m2 free=56.6m2 occ=4.5m2 (282x268)
coverage: t=150s known=75.5m2 free=70.1m2 occ=5.4m2 (282x268)
coverage: t=180s known=77.9m2 free=72.3m2 occ=5.6m2 (282x268)
coverage: t=210s known=84.5m2 free=78.2m2 occ=6.2m2 (283x268)
coverage: t=240s known=85.7m2 free=79.2m2 occ=6.5m2 (283x268)
coverage: t=270s known=86.7m2 free=80.1m2 occ=6.7m2 (283x268)
coverage: t=300s known=101.7m2 free=94.0m2 occ=7.7m2 (283x268)
coverage: t=330s known=106.0m2 free=97.9m2 occ=8.1m2 (283x268)
coverage: t=360s known=107.6m2 free=99.2m2 occ=8.4m2 (283x268)
coverage: t=390s known=107.6m2 free=99.2m2 occ=8.4m2 (283x268)
coverage: t=420s known=107.6m2 free=99.2m2 occ=8.4m2 (283x268)
coverage: t=450s known=107.6m2 free=99.2m2 occ=8.4m2 (283x268)
coverage: t=480s known=108.1m2 free=99.6m2 occ=8.6m2 (283x268)
coverage: t=510s known=108.1m2 free=99.6m2 occ=8.6m2 (283x268)
coverage: t=540s known=108.5m2 free=99.9m2 occ=8.6m2 (283x268)
coverage: t=570s known=109.1m2 free=100.4m2 occ=8.7m2 (283x268)
coverage: t=600s known=109.6m2 free=100.7m2 occ=8.9m2 (283x268)
coverage: t=630s known=110.9m2 free=99.8m2 occ=11.2m2 (285x289)
coverage: t=660s known=110.9m2 free=99.8m2 occ=11.2m2 (285x289)
coverage: t=690s known=110.9m2 free=99.8m2 occ=11.2m2 (285x289)
coverage: t=720s known=110.9m2 free=99.8m2 occ=11.2m2 (285x289)
coverage: t=750s known=111.1m2 free=99.9m2 occ=11.2m2 (285x289)
coverage: t=780s known=111.3m2 free=100.1m2 occ=11.2m2 (285x289)
coverage: t=810s known=111.3m2 free=100.1m2 occ=11.2m2 (285x289)
coverage: t=840s known=111.6m2 free=100.5m2 occ=11.2m2 (285x289)
coverage: t=870s known=111.6m2 free=100.5m2 occ=11.2m2 (285x289)
