coverage: no map yet
coverage: t=60s known=3.6m2 free=3.6m2 occ=0.0m2 (397x397)
coverage: t=90s known=82.4m2 free=81.0m2 occ=1.4m2 (398x398)
coverage: t=120s known=151.3m2 free=147.7m2 occ=3.6m2 (399x399)
coverage: t=150s known=181.2m2 free=176.3m2 occ=4.9m2 (399x399)
coverage: t=180s known=229.1m2 free=222.5m2 occ=6.5m2 (399x400)
coverage: t=210s known=297.1m2 free=288.8m2 occ=8.3m2 (399x400)
coverage: t=240s known=301.6m2 free=292.9m2 occ=8.7m2 (399x400)
coverage: t=270s known=307.5m2 free=298.4m2 occ=9.1m2 (400x400)
coverage: t=300s known=315.3m2 free=305.7m2 occ=9.6m2 (400x400)
coverage: t=330s known=330.0m2 free=319.6m2 occ=10.4m2 (400x400)
coverage: t=360s known=333.1m2 free=322.3m2 occ=10.8m2 (400x401)
coverage: t=390s known=338.2m2 free=327.0m2 occ=11.2m2 (400x401)
coverage: t=420s known=340.9m2 free=329.5m2 occ=11.4m2 (400x401)
coverage: t=450s known=343.0m2 free=331.7m2 occ=11.3m2 (400x401)
coverage: t=480s known=362.4m2 free=350.0m2 occ=12.4m2 (400x400)
coverage: t=510s known=386.7m2 free=373.1m2 occ=13.6m2 (400x400)
coverage: t=540s known=387.6m2 free=373.6m2 occ=13.9m2 (400x400)
coverage: t=570s known=387.9m2 free=373.9m2 occ=14.0m2 (400x400)
coverage: t=600s known=387.9m2 free=373.9m2 occ=14.0m2 (400x400)
coverage: t=630s known=388.0m2 free=374.2m2 occ=13.8m2 (401x400)
coverage: t=660s known=388.1m2 free=374.2m2 occ=13.9m2 (401x400)
coverage: t=690s known=388.3m2 free=374.1m2 occ=14.2m2 (400x401)
coverage: t=720s known=388.6m2 free=374.2m2 occ=14.3m2 (400x401)
coverage: t=750s known=388.6m2 free=374.2m2 occ=14.5m2 (400x401)
coverage: t=780s known=389.3m2 free=374.5m2 occ=14.8m2 (400x401)
coverage: t=810s known=389.5m2 free=374.6m2 occ=15.0m2 (400x401)
coverage: t=840s known=389.6m2 free=374.5m2 occ=15.1m2 (402x401)
coverage: t=870s known=389.6m2 free=374.6m2 occ=15.0m2 (402x401)
coverage: t=900s known=389.8m2 free=374.7m2 occ=15.1m2 (402x401)
coverage: t=930s known=389.9m2 free=374.7m2 occ=15.2m2 (402x401)
coverage: t=960s known=390.1m2 free=374.7m2 occ=15.4m2 (402x401)
coverage: t=990s known=390.2m2 free=374.7m2 occ=15.5m2 (402x401)
coverage: t=1020s known=390.3m2 free=374.7m2 occ=15.6m2 (402x401)
coverage: t=1050s known=390.7m2 free=374.6m2 occ=16.1m2 (402x401)
coverage: t=1080s known=390.7m2 free=374.6m2 occ=16.1m2 (402x401)
coverage: t=1110s known=390.7m2 free=374.6m2 occ=16.1m2 (402x401)
coverage: t=1140s known=390.8m2 free=374.6m2 occ=16.1m2 (402x401)
coverage: t=1170s known=390.8m2 free=374.7m2 occ=16.2m2 (402x401)
coverage: t=1200s known=390.8m2 free=374.7m2 occ=16.2m2 (402x401)
coverage: t=1230s known=390.8m2 free=374.7m2 occ=16.2m2 (402x401)
coverage: t=1260s known=390.8m2 free=374.7m2 occ=16.2m2 (402x401)
coverage: t=1290s known=390.9m2 free=374.7m2 occ=16.2m2 (402x401)
coverage: t=1320s known=390.9m2 free=374.6m2 occ=16.3m2 (402x401)
coverage: t=1350s known=391.0m2 free=374.7m2 occ=16.4m2 (402x401)
coverage: t=1380s known=391.1m2 free=374.7m2 occ=16.4m2 (402x401)
coverage: t=1410s known=391.1m2 free=374.6m2 occ=16.5m2 (402x401)
coverage: t=1440s known=391.2m2 free=374.6m2 occ=16.6m2 (402x401)
coverage: t=1470s known=391.2m2 free=374.7m2 occ=16.6m2 (402x401)
coverage: t=1500s known=391.3m2 free=374.7m2 occ=16.6m2 (402x401)
coverage: t=1530s known=391.3m2 free=374.7m2 occ=16.6m2 (402x401)
coverage: t=1560s known=391.2m2 free=374.7m2 occ=16.6m2 (402x401)
coverage: t=1590s known=391.4m2 free=374.7m2 occ=16.7m2 (402x401)
coverage: t=1620s known=391.5m2 free=374.7m2 occ=16.8m2 (402x401)
